ds,yhat,yhat_lower,yhat_upper
2025-06-12 20:20:18.822,5166.660975,1731.461778839626,8739.547718602442
2025-06-12 20:20:19.795,5166.68764729002,1573.5374258913748,8867.72841530743
2025-06-12 20:20:22.800,5166.770021628674,1531.0214195885744,9021.713096455596
2025-06-12 20:20:25.818,5166.85275232886,1595.9063688408207,8783.3808377252
2025-06-12 20:20:26.794,5166.879506856157,1711.0219598821493,8904.15091043325
2025-06-12 20:20:29.812,5166.962237556342,1773.363513887522,8476.645208532984
2025-06-12 20:20:30.802,5166.989375857595,1439.7000524125021,8886.51125036403
2025-06-12 20:20:33.802,5167.071613134122,1514.8324732779445,8388.146551071373
2025-06-12 20:20:34.814,5167.099354508737,1611.223240914371,8495.331827383317
2025-06-12 20:20:37.803,5167.181290248583,1335.9461240332803,8668.919039159988
2025-06-12 20:20:38.815,5167.209031697613,1475.0493843890745,8706.341394290777
2025-06-12 20:20:41.802,5167.29091283225,1559.621075333993,8917.132349759884
2025-06-12 20:20:44.822,5167.373698579354,1673.3109245564324,8762.556238658175
2025-06-12 20:20:45.809,5167.400754715907,1575.7905825940327,8840.140923203964
2025-06-12 20:20:48.806,5167.482909975534,1594.2544075513558,8685.99049472429
2025-06-12 20:20:49.799,5167.510130587082,1466.1177233155074,8765.428247914931
2025-06-12 20:20:52.805,5167.5925325592,1400.1731048310432,8402.174731851652
2025-06-12 20:20:53.800,5167.619807995747,1641.3832130673604,8504.668179512902
2025-06-12 20:20:56.810,5167.702319617861,1527.0151572126065,8726.92049342879
2025-06-12 20:20:59.828,5167.785050516873,1671.071283740874,8977.439583826892
2025-06-12 20:21:00.821,5167.812271120821,1359.4644239830668,8943.908152868573
2025-06-12 20:21:03.803,5167.894015170142,1564.5611435704689,8742.66889595976
2025-06-12 20:21:04.802,5167.921400249039,1497.3234049392333,8824.642486043349
2025-06-12 20:21:07.818,5168.004076323068,1799.0291323099038,8780.621962787187
2025-06-12 20:21:10.818,5168.086313797234,1361.7069139606274,8595.51445460068
2025-06-12 20:21:11.817,5168.113698876132,1680.1407972580525,8943.45697983224
2025-06-12 20:21:14.821,5168.196046000263,1545.0312050217296,8621.565474284458
2025-06-12 20:21:15.820,5168.223431079159,1743.1635156175578,8820.686733690247
2025-06-12 20:21:18.821,5168.305696056987,1619.6533179976902,8770.276295318854
2025-06-12 20:21:19.819,5168.333053753711,1623.0235560960134,8675.50168418367
2025-06-12 20:21:22.825,5168.415455794148,1603.1962461793942,8723.33777948035
2025-06-12 20:21:25.821,5168.497583709367,1466.5684420209318,9005.649939864003
2025-06-12 20:21:26.833,5168.525325181396,1459.4145833798204,8959.688259557044
2025-06-12 20:21:29.822,5168.607261208962,1433.9717933877978,8851.512803812917
2025-06-12 20:21:30.819,5168.634591493165,1662.8145854468025,8601.953009890733
2025-06-12 20:21:33.821,5168.716883883514,1386.7654592120334,8528.199193128614
2025-06-12 20:21:34.823,5168.744351230327,1623.7697782500632,8970.179438406904
2025-06-12 20:21:37.823,5168.826588821789,1592.9060939087228,8668.109855962572
2025-06-12 20:21:38.822,5168.8539739397465,1110.4540712825578,8716.092700185973
2025-06-12 20:21:41.823,5168.936238943741,1679.3069451481088,8868.053995215698
2025-06-12 20:21:44.857,5169.019408561241,1583.3512872398883,9019.37440600014
2025-06-12 20:21:45.865,5169.047040391972,1822.766119535274,8564.920700278879
2025-06-12 20:21:48.860,5169.129140920782,1549.7906267912517,9039.741335627197
2025-06-12 20:21:49.858,5169.156498626209,1559.6206692760952,8378.290232628866
2025-06-12 20:21:52.863,5169.238873280325,1370.04611571327,8766.183071029986
2025-06-12 20:21:53.861,5169.2662309857515,1792.1776368420044,8802.563632192201
2025-06-12 20:21:56.871,5169.348742954362,1586.9869266246264,8717.582060835139
2025-06-12 20:21:57.859,5169.37582661715,1473.5694571055685,8575.896552202967
2025-06-12 20:22:00.861,5169.458119284848,1636.3823987739152,8836.543204206964
2025-06-12 20:22:03.872,5169.540658666075,1375.9456669867673,8989.619606540713
2025-06-12 20:22:04.862,5169.56779715409,1558.8320202876764,8696.475016715927
2025-06-12 20:22:07.865,5169.650117234403,1655.9350712059445,8706.383824920862
2025-06-12 20:22:08.881,5169.677968450386,1729.9167522812393,8536.353287075764
2025-06-12 20:22:11.885,5169.760315943313,1342.2332189484387,8882.081301160113
2025-06-12 20:22:12.884,5169.787701144856,1582.5912381064677,8784.150896099614
2025-06-12 20:22:15.884,5169.86993894386,1245.9797389507207,9036.768415691147
2025-06-12 20:22:16.912,5169.898119096319,1806.0483318803394,8754.512127671622
2025-06-12 20:22:19.884,5169.979589342532,1625.2939696171827,8851.68409567225
2025-06-12 20:22:22.887,5170.061909379335,1692.0107957206776,8885.471176508378
2025-06-12 20:22:23.886,5170.089294566403,1716.3495787526776,8706.973580763895
2025-06-12 20:22:26.884,5170.171477540207,1660.4957491685343,8959.802735672178
2025-06-12 20:22:27.882,5170.198835314676,1379.369353463814,8694.058124619101
2025-06-12 20:22:30.887,5170.2812101766785,1379.8616130944956,8716.888091654155
2025-06-12 20:22:33.884,5170.363365737882,1699.9683819484983,8749.197134878708
2025-06-12 20:22:34.886,5170.390833718803,1645.7787269046075,8826.041228999242
2025-06-12 20:22:37.888,5170.473128008949,1342.694635894355,8688.575066410327
2025-06-12 20:22:38.887,5170.500513750406,1591.9918590823236,8743.814893402512
2025-06-12 20:22:41.915,5170.58352078257,1669.9901797140874,8659.086150590121
2025-06-12 20:22:42.908,5170.610742045102,1465.7862893954193,8972.347556654682
2025-06-12 20:22:45.914,5170.693145987864,1326.7548741087467,8702.562711392588
2025-06-12 20:22:46.909,5170.7204220767035,1839.6402453433443,8833.846923712148
2025-06-12 20:22:49.911,5170.8027163668485,1460.9667856900373,8434.190348884847
2025-06-12 20:22:52.910,5170.88492841753,1513.939612255998,8642.196578136542
2025-06-12 20:22:53.908,5170.91228711026,1403.1680823584882,8862.41984042286
2025-06-12 20:22:56.910,5170.994582496606,1428.1257572097038,8795.226683862022
2025-06-12 20:22:57.912,5171.022050843415,1749.1157759972125,8824.45321528301
2025-06-12 20:23:00.910,5171.104236575683,1363.4769587181377,8931.912300084257
2025-06-12 20:23:01.925,5171.132061298249,1515.4798210634342,8907.46693144379
2025-06-12 20:23:20.930,5171.653055241458,1354.9924069407148,8488.614564710364
